n_features,n_classes,frac_extreme,extreme_ovr,extreme_fisher,extreme_contrastive,moderate_ovr,moderate_fisher,moderate_contrastive,seed
20,4,0.1715197176051857,0.9353312533243795,0.9520520213752053,0.9402593751479029,0.7563207523565145,0.7638918105960217,0.7612354518626471,11
20,4,0.10657672356846967,0.9939313789699087,0.9112137464451786,0.9888740853375857,0.8433314665030911,0.8031092081373111,0.8458645211246129,12
20,4,0.11288822317749013,0.922536390444116,0.8824658105166784,0.9510444271347656,0.817417485511261,0.7761676060359969,0.8187086448867457,13
20,4,0.1631028529702834,0.9382347001999521,0.89205133329886,0.9534339839903606,0.8085787995376023,0.8120212702270864,0.8025666470235594,14
20,4,0.18542098141005256,0.9775381054037775,0.9635061394104644,0.9799572563372403,0.8100201852585851,0.8193130549475338,0.8082074945991082,15
20,4,0.06798538293539637,0.9448974426537584,0.9013481110488439,0.9850892330014756,0.7876691021614363,0.7792111058089045,0.7832173780435372,16
20,4,0.06496664757991025,0.9705904833909066,0.9530291905596503,0.9705904833909066,0.7931319744556502,0.7791587321093001,0.790850232808341,17
20,4,0.04355433521343886,0.9803448790421939,0.8327972810166203,0.9803448790421939,0.8291537295784561,0.8264990901044663,0.8274411181482919,18
20,4,0.052853250518584895,0.9626883960270327,0.9147391720220762,0.9882393681072963,0.8313605112053049,0.7952236085277282,0.8312224491495559,19
20,5,0.2518923244006944,0.92673864596428,0.8849456785041396,0.9354516212699504,0.777285026293213,0.7480010350450065,0.772961129777025,0
20,5,0.18146452751155068,0.9271716078403955,0.914000850482875,0.9439584634487479,0.7785882554598049,0.778607381354868,0.7726025001315618,1
20,5,0.26008551200065244,0.9161034714292212,0.8829421901745229,0.9282217265765542,0.7637507296625796,0.7653660748607753,0.7606324912688955,2
20,5,0.24212791133205017,0.9316057567723078,0.8699197414051703,0.9471910006173476,0.8026795875877527,0.7506254112747766,0.7907958173720531,3
20,5,0.17500505636941135,0.9159592272691175,0.9049682637913367,0.9197613629751561,0.7845709268275064,0.7708531922091776,0.7816649138509342,4
20,5,0.24349773778116396,0.8982073823370874,0.9030391521972123,0.928036346083903,0.7998047452973551,0.779482032693174,0.789745836181148,5
20,5,0.14285067232944448,0.9464680344040532,0.9178120769349705,0.9503859267712478,0.7819193544407129,0.7832247205939528,0.7850312206844767,6
20,5,0.18150019633445302,0.9296883515208276,0.9225347217710723,0.9349497295924476,0.7961455653836707,0.8002666782118362,0.7921115268217793,7
20,5,0.18699849449650044,0.9098035928069319,0.9000253110279692,0.9269031802243428,0.752768490558877,0.7509557928987538,0.7513973933441179,8
20,5,0.1681559696157215,0.9419107585900828,0.8803698728306278,0.9532212741429297,0.7938298467910548,0.7663006928215511,0.7905230970154402,9
20,5,0.18151555487849455,0.9327267688393582,0.9105393891793063,0.9360023727031804,0.7689895680786644,0.7574183039187936,0.7665732150681457,10
20,5,0.1943040155625424,0.9068284382449439,0.8552681931795192,0.9161305479717172,0.767472744217659,0.7780783556407311,0.7529970844326181,11
20,5,0.13460085466847024,0.9383879875282319,0.9145499181423069,0.9466164800735195,0.7828731976858693,0.7511924890737882,0.7917059592547886,12
20,5,0.17651027252116258,0.9247950387417956,0.9068610877911345,0.9337215666157375,0.7853630832757079,0.7911257183098661,0.7875035514649757,13
