n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject,K
20,4,stability_normalized,ovr_stability_normalized,contrastive_stability_normalized,20,0.0628317615075177,0.053230805472889456,0.07293137885484015,0.06023323528524245,0.05056237980406946,0.07022582848834565,0.002598526222275252,0.0072956085205078125,0.6666666666666666,True,
20,5,stability_normalized,ovr_stability_normalized,contrastive_stability_normalized,20,0.06110475083411421,0.05331750423283059,0.06922953805665967,0.05827620298463123,0.05062447926453917,0.06618021883731108,0.0028285478494829686,0.0023250579833984375,0.7428571428571429,True,
8,3,stability_normalized,fisher_stability_normalized,contrastive_stability_normalized,20,0.07237710336862338,0.05445018417489382,0.090120762194335,0.03389480735379091,0.025693244844483883,0.04267828752430764,0.038482296014832475,1.9073486328125e-06,1.0,True,
8,4,stability_normalized,fisher_stability_normalized,contrastive_stability_normalized,20,0.0645920114890465,0.050418065345810274,0.07985785152056303,0.028554110334600764,0.023240339241930648,0.03469568968182846,0.03603790115444573,1.9073486328125e-06,1.0,True,
8,5,stability_normalized,fisher_stability_normalized,contrastive_stability_normalized,20,0.050981042686652565,0.04441972883924321,0.05801700390318703,0.026020130013605442,0.0223649418011517,0.02989456094310391,0.024960912673047127,1.9073486328125e-06,1.0,True,
14,3,stability_normalized,fisher_stability_normalized,contrastive_stability_normalized,20,0.15309482238714606,0.11735189660555177,0.19255473766338174,0.06218887078188608,0.04240820523918931,0.08466679290912965,0.09090595160525998,1.9073486328125e-06,1.0,True,
14,4,stability_normalized,fisher_stability_normalized,contrastive_stability_normalized,20,0.13475951350352927,0.11217738170160968,0.16111320239151453,0.05000871081531311,0.04158595762288337,0.05937078288632704,0.08475080268821615,1.9073486328125e-06,1.0,True,
14,5,stability_normalized,fisher_stability_normalized,contrastive_stability_normalized,20,0.11348451610914823,0.09997477355529408,0.12908688315224412,0.04568274229940177,0.03936746883329404,0.052668988805589644,0.06780177380974645,1.9073486328125e-06,1.0,True,
20,3,stability_normalized,fisher_stability_normalized,contrastive_stability_normalized,20,0.21762243158652014,0.1685624620122579,0.2777301125496314,0.09631649241068563,0.06819138563361296,0.13051442491638376,0.1213059391758345,1.9073486328125e-06,1.0,True,
20,4,stability_normalized,fisher_stability_normalized,contrastive_stability_normalized,20,0.16766447158097872,0.13392905582689166,0.2114737183405773,0.06023323528524245,0.05056237980406946,0.07022582848834565,0.1074312362957363,1.9073486328125e-06,1.0,True,
20,5,stability_normalized,fisher_stability_normalized,contrastive_stability_normalized,20,0.15781102934754346,0.1381520679537532,0.17819530048854504,0.05827620298463123,0.05062447926453917,0.06618021883731108,0.09953482636291223,1.9073486328125e-06,1.0,True,
8,3,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.4104166666666666,0.3638715277777777,0.4590277777777777,0.54375,0.48472222222222217,0.6090277777777777,-0.13333333333333336,0.0015029853258446506,-0.8095238095238095,False,2.0
8,3,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.562202380952381,0.537921626984127,0.5857161458333333,0.6652281746031746,0.6336793154761905,0.6968272569444444,-0.10302579365079363,8.20159912109375e-05,-0.9047619047619048,True,5.0
8,4,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.31180555555555556,0.2809027777777778,0.34756944444444443,0.36111111111111105,0.32673611111111106,0.4007031249999999,-0.04930555555555553,0.0009416622968818007,-0.8428571428571429,True,2.0
8,4,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.5458829365079365,0.5233382936507935,0.5690724206349206,0.5494667658730157,0.530368923611111,0.5686309523809523,-0.003583829365079369,0.8227452173339953,-0.05714285714285714,False,5.0
8,5,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.26708333333333334,0.24854166666666666,0.28541666666666665,0.3088888888888889,0.2760399305555556,0.34291840277777774,-0.041805555555555554,0.0758514404296875,-0.45714285714285713,False,2.0
8,5,feature_overlap,ovr_feature_overlap,fisher_feature_overlap,20,0.5120610119047619,0.49600390624999996,0.5290414806547618,0.538640873015873,0.5232013268849205,0.5557134176587301,-0.026579861111111103,0.03276824951171875,-0.5428571428571428,False,5.0
