n_features,n_classes,frac_extreme,ridge_fidelity,ridge_extreme,ridge_moderate,logistic_fidelity,logistic_extreme,logistic_moderate,ridge_direction_variance,logistic_direction_variance,seed
8,3,0.03125768252850663,0.6900673207653959,0.9043990458426894,0.683151639580187,0.7001508969844501,0.9043990458426894,0.6935605749979907,0.1713412396434994,0.16980813492191402,5
8,3,0.043022485089690705,0.7059339509029876,1.0,0.6927137320205762,0.7125566922448198,1.0,0.6996342095016516,0.10402125879995885,0.0972320941574408,5
8,3,0.04945958584993823,0.7069479375358699,1.0,0.69169952365869,0.7133520317843683,1.0,0.6984368429279869,0.02504299333631839,0.025522349249553926,5
8,3,0.1406192716199959,0.9561192164733521,1.0,0.9489390649830296,0.9561192164733521,1.0,0.9489390649830296,0.06574589310725948,0.0631256478421319,6
8,3,0.2914035631434574,0.8655657777948025,1.0,0.8102809791119309,0.8585854381065439,1.0,0.8004300409400931,0.015969801953786215,0.015051915026682286,6
8,3,0.23631268936106878,0.815811948515982,0.8752069167509046,0.7974329804716304,0.8100486270239388,0.8779042192201553,0.7890516335467785,0.0255432636279452,0.016736033991409126,6
8,3,0.26237959210109235,0.8146506565216636,0.9758071564685592,0.7573255387948489,0.8324359788487387,0.9758071564685592,0.7814372934814308,0.028841051471779525,0.03286316723847211,6
8,3,0.11948265540911299,0.8828159608351033,0.8835805423258575,0.8827122102078692,0.8888199467903688,0.906359868427281,0.886439850105482,0.08161722356479255,0.06174167677177749,6
8,3,0.1388700712458264,0.9461277670838374,0.9831904269563826,0.9401508592500721,0.9465474152457309,0.9862123031470467,0.9401508592500721,0.08957592744678898,0.1091446040891342,6
8,3,0.35068741395834596,0.8273018604839515,1.0,0.7340292746073925,0.8273912922115093,1.0,0.7341670075413913,0.04046541947722124,0.019940632688451636,6
8,3,0.22836893190187893,0.870456403688884,0.9929642229251634,0.834199465645197,0.865461078124668,0.9929642229251634,0.8277257429417705,0.04168125795438428,0.016715014416742065,6
8,3,0.2141364054383975,0.8024044147709638,0.9761960130800171,0.7550487306359135,0.8094183172381607,0.9761960130800171,0.763973819564495,0.027672791092166898,0.022766819901644555,7
8,3,0.11139135249866897,0.7936626489863144,1.0,0.7677972731934545,0.8087085007215437,1.0,0.7847291945488638,0.016211303296434054,0.012549362979217117,7
8,3,0.14515017230863667,0.8151504016025461,0.953048095793711,0.7917359100457464,0.8147588946286242,0.953048095793711,0.7912779267120192,0.0157299430535053,0.015517464260414917,7
8,3,0.08441473192762033,0.7674570505948234,1.0,0.7460171569877274,0.7658134733053762,1.0,0.7442220458749116,0.022261902396878877,0.01925152186985618,7
8,3,0.17733533869277845,0.9137740100732176,1.0,0.895186952859056,0.9188128629634724,1.0,0.901311991562248,0.016142142276688372,0.013215839197891,7
8,3,0.07986330477761178,0.8376542146282129,0.9603904321367828,0.8270013192518698,0.8415265349251674,0.9603904321367828,0.8312097377586641,0.028659534956392466,0.02962941700527636,7
8,3,0.04534739947098711,0.7242265371931151,0.9211564314321521,0.7148720782235504,0.7308327799024039,0.9211564314321521,0.7217921271561445,0.038721491889082756,0.0371914796809272,7
8,3,0.0987494696736442,0.7505963381710952,1.0,0.7232693314048956,0.7566673049001085,1.0,0.7300054902472263,0.018685411916909152,0.014870100394682013,7
8,3,0.12969791305268744,0.8296938799731739,0.8353494947459117,0.8288510445438956,0.8384606805452469,0.8353494947459117,0.838924329100553,0.1237636504140952,0.09634660786544424,8
8,3,0.11825965093520899,0.88384701124481,0.8544741307023751,0.887786523147145,0.8662417398372991,0.7753247597134113,0.8784355907197477,0.13878266657195562,0.08914562713885882,8
8,3,0.21614991071776113,0.8949261636122201,0.9773395415239959,0.8722003330980063,0.9055063478587949,0.9773395415239959,0.885698046999223,0.02812543073158904,0.023385746573218888,8
8,3,0.21045265044663372,0.8391575839686226,1.0,0.7962852815320537,0.852906259675934,1.0,0.8136986459301342,0.03542580329579499,0.02746236737832981,8
8,3,0.2046997185059902,0.8154856097015232,0.8974019402460013,0.7944014353416218,0.8311222415536883,0.885175184816055,0.8172097326212869,0.04421115374050431,0.04039743107968772,8
8,3,0.09653060328031497,0.8475092682805547,0.8801544091982998,0.8440213193158169,0.8519285338186439,0.8801544091982998,0.8489127584217067,0.05079338003874054,0.042136449786913714,8
8,3,0.2557383398278246,0.8458919888960765,0.9921959329058834,0.795619981410597,0.8614523953328724,0.9921959329058834,0.8165271532689408,0.04386747147985447,0.03818849415094892,8
8,3,0.3772648781085876,0.8435978873908654,0.9773310783472179,0.7625797559066767,0.8545801848250577,0.9773310783472179,0.7802153397177134,0.016549588923790885,0.013277117043446253,8
8,3,0.2829505763360616,0.8561169485961055,0.9511537282789044,0.8186150544491626,0.8643953840281642,0.9511537282789044,0.8301601936806509,0.0137809953310014,0.013924034562731356,9
8,3,0.2803260405223894,0.9142048787910808,1.0,0.8807861253293153,0.9156902395483919,1.0,0.8828500610015038,0.031504277673108386,0.014963225209810953,9
8,3,0.34870954699072454,0.7941656569454872,0.9586224064705023,0.706113331962891,0.8194972455734504,0.967215011054799,0.7404071946668551,0.02692477411924244,0.015221931157682975,9
8,3,0.1779440311312997,0.8344552147597609,0.9830163759587331,0.8022973412153693,0.8336418381759206,0.9830163759587331,0.8013078993590445,0.011907588643890575,0.011753606560537432,9
