n_features,n_classes,ridge_spearman,ridge_recall,logistic_spearman,logistic_recall,seed
8,5,1.0,1.0,1.0,1.0,12
8,5,1.0,1.0,1.0,1.0,12
8,5,1.0,1.0,1.0,1.0,12
8,5,1.0,1.0,1.0,1.0,12
8,5,1.0,1.0,1.0,1.0,13
8,5,1.0,1.0,1.0,1.0,13
8,5,1.0,1.0,1.0,1.0,13
8,5,1.0,1.0,1.0,1.0,13
8,5,1.0,1.0,1.0,1.0,13
8,5,1.0,1.0,0.9761904761904763,1.0,13
8,5,1.0,1.0,0.9761904761904763,1.0,13
8,5,1.0,1.0,1.0,1.0,13
8,5,1.0,1.0,1.0,0.75,14
8,5,1.0,1.0,1.0,1.0,14
8,5,1.0,1.0,1.0,1.0,14
8,5,1.0,1.0,1.0,1.0,14
8,5,1.0,1.0,1.0,1.0,14
8,5,1.0,1.0,1.0,1.0,14
8,5,1.0,1.0,1.0,1.0,14
8,5,1.0,1.0,1.0,1.0,14
8,5,1.0,1.0,1.0,1.0,15
8,5,1.0,1.0,1.0,1.0,15
8,5,0.9761904761904763,0.75,0.9761904761904763,0.75,15
8,5,1.0,1.0,1.0,1.0,15
8,5,0.9761904761904763,1.0,0.9761904761904763,1.0,15
8,5,1.0,1.0,1.0,1.0,15
8,5,0.9761904761904763,0.75,0.9761904761904763,0.75,15
8,5,1.0,1.0,1.0,1.0,15
8,5,1.0,0.75,1.0,1.0,16
8,5,1.0,1.0,1.0,1.0,16
8,5,1.0,1.0,1.0,1.0,16
8,5,1.0,1.0,1.0,1.0,16
8,5,1.0,1.0,1.0,1.0,16
8,5,1.0,1.0,1.0,1.0,16
8,5,1.0,1.0,1.0,1.0,16
8,5,1.0,1.0,1.0,1.0,16
8,5,1.0,1.0,1.0,1.0,17
8,5,1.0,1.0,1.0,1.0,17
8,5,1.0,1.0,1.0,1.0,17
8,5,1.0,1.0,1.0,1.0,17
8,5,1.0,1.0,1.0,1.0,17
8,5,1.0,1.0,1.0,1.0,17
8,5,1.0,1.0,1.0,1.0,17
8,5,1.0,1.0,1.0,1.0,17
8,5,1.0,1.0,1.0,1.0,18
8,5,1.0,1.0,1.0,1.0,18
8,5,1.0,1.0,1.0,1.0,18
8,5,0.9761904761904763,1.0,0.9761904761904763,1.0,18
8,5,1.0,1.0,1.0,1.0,18
8,5,1.0,1.0,1.0,1.0,18
8,5,1.0,1.0,1.0,1.0,18
8,5,1.0,1.0,1.0,1.0,18
