n_features,n_classes,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
8,5,spearman,contrastive_spearman,ovo_logistic_spearman,20,0.9980654761904763,0.9956845238095239,0.9997023809523811,0.9974702380952382,0.9961309523809525,0.9986607142857142,0.0005952380952380931,0.20373653988950713,0.4666666666666667,False
14,3,spearman,contrastive_spearman,ovo_logistic_spearman,20,0.9992307692307694,0.9985439560439561,0.9997802197802198,0.9949175824175824,0.9915103021978021,0.9976373626373626,0.0043131868131867975,0.00028452439090678006,1.0,True
14,4,spearman,contrastive_spearman,ovo_logistic_spearman,20,0.9993956043956043,0.9985714285714288,0.9998901098901098,0.9981868131868132,0.9974175824175825,0.9987912087912088,0.0012087912087912045,0.00026693336317208297,1.0,True
14,5,spearman,contrastive_spearman,ovo_logistic_spearman,20,0.9997252747252748,0.9994505494505495,0.999945054945055,0.998598901098901,0.9981318681318682,0.9990659340659341,0.0011263736263736224,0.0009204698644215821,1.0,True
20,3,spearman,contrastive_spearman,ovo_logistic_spearman,20,0.9996428571428572,0.9993796992481203,0.9998496240601502,0.9977255639097743,0.9968796992481203,0.99843984962406,0.0019172932330827285,1.33514404296875e-05,0.9619047619047619,True
20,4,spearman,contrastive_spearman,ovo_logistic_spearman,20,0.999812030075188,0.99968984962406,0.9999154135338346,0.9989097744360903,0.9985714285714286,0.99921992481203,0.0009022556390977599,0.00013039108231925053,1.0,True
20,5,spearman,contrastive_spearman,ovo_logistic_spearman,20,0.9993984962406014,0.998703007518797,0.9998308270676691,0.9988063909774436,0.9983646616541353,0.9991823308270676,0.0005921052631579216,0.0025150108004925475,0.7894736842105263,True
8,3,spearman,contrastive_spearman,ovr_spearman,20,0.9991071428571429,0.9976190476190476,1.0,0.9788690476190475,0.9694940476190474,0.9866071428571429,0.020238095238095187,0.00028961940975555264,1.0,True
8,4,spearman,contrastive_spearman,ovr_spearman,20,0.9994047619047619,0.9985119047619048,1.0,0.9751488095238097,0.967406994047619,0.9818452380952383,0.024255952380952343,1.9073486328125e-06,1.0,True
8,5,spearman,contrastive_spearman,ovr_spearman,20,0.9980654761904763,0.9956845238095239,0.9997023809523811,0.9721726190476192,0.9669642857142857,0.9772358630952382,0.025892857142857086,1.9073486328125e-06,1.0,True
14,3,spearman,contrastive_spearman,ovr_spearman,20,0.9992307692307694,0.9985439560439561,0.9997802197802198,0.9803296703296704,0.9746703296703298,0.9852747252747254,0.018901098901098867,1.9073486328125e-06,1.0,True
