n_features,n_classes,K,metric,method_a,method_b,n_seeds,mean_a,ci_lo_a,ci_hi_a,mean_b,ci_lo_b,ci_hi_b,mean_diff,p_value,effect_size,p_value_holm_reject
20,4,6,spearman,joint_refit_spearman,ridge_select_spearman,20,0.6279707084415482,0.6007635689879368,0.6550983304306945,0.7102633179323109,0.6947129463113814,0.7247068180351319,-0.08229260949076256,2.6702880859375e-05,-0.9428571428571428,True
20,4,12,spearman,joint_refit_spearman,ridge_select_spearman,20,0.8405042436124239,0.8246023231894207,0.8565559428344924,0.9021296016850359,0.8930694408614912,0.9106360421833477,-0.06162535807261188,1.9073486328125e-06,-1.0,True
20,5,6,spearman,joint_refit_spearman,ridge_select_spearman,20,0.5876413044240041,0.5675953716699884,0.6080019757031242,0.6719500944345346,0.65101701328371,0.6912487947674667,-0.08430879001053057,9.5367431640625e-06,-0.9714285714285714,True
20,5,12,spearman,joint_refit_spearman,ridge_select_spearman,20,0.8078442118032015,0.7861516536607307,0.8271699250657858,0.8652747924886919,0.8476214068545728,0.87911670822957,-0.05743058068549012,1.9073486328125e-06,-1.0,True
8,3,2,spearman,joint_refit_spearman,pair_lasso_spearman,20,0.5338544814701958,0.4717987689343355,0.5977708911951218,0.699855947971147,0.6653697278177804,0.7290864292056601,-0.16600146650095132,0.00029256438440193296,-0.9473684210526315,True
8,3,5,spearman,joint_refit_spearman,pair_lasso_spearman,20,0.8575721891035235,0.8171600145983383,0.8926435979751114,0.9054522864325609,0.8731179722968209,0.9301547570290707,-0.04788009732903745,0.01122001352123543,-0.6631578947368421,False
8,4,2,spearman,joint_refit_spearman,pair_lasso_spearman,20,0.5792515961353619,0.5368744612011404,0.622213243275573,0.6958617812302204,0.6703356461011641,0.7200216190777766,-0.11661018509485843,0.0001114228654633665,-0.9857142857142858,True
8,4,5,spearman,joint_refit_spearman,pair_lasso_spearman,20,0.8414088441453135,0.8135042014344414,0.8683985805377963,0.9290873663242832,0.9181084905036123,0.9399175698682163,-0.08767852217896976,0.00015485725743722618,-0.9894736842105263,True
8,5,2,spearman,joint_refit_spearman,pair_lasso_spearman,20,0.5364847863971474,0.4966307958187792,0.5750650274599639,0.7015120658881167,0.6789109272565316,0.7213879163592766,-0.16502727949096924,8.844915021211901e-05,-1.0,True
8,5,5,spearman,joint_refit_spearman,pair_lasso_spearman,20,0.8371392813261636,0.8084722166833005,0.8635190801730538,0.928934881937885,0.9132289901388697,0.9423535079409273,-0.09179560061172141,0.00010248649056818514,-0.9904761904761905,True
