n_features,n_classes,K,ovr_union_fidelity_test,ovr_union_complexity,ovr_exact_fidelity_test,ovr_exact_complexity,ovr_union_half_fidelity_test,ovr_union_half_complexity,pairwise_lime_fidelity_test,pairwise_lime_complexity,pairwise_lime_brier_test,contrastive_fidelity_test,contrastive_complexity,contrastive_brier_test,logistic_fidelity_test,logistic_complexity,logistic_brier_test,seed
8,3,4,0.8813781714012399,5,0.8726270199973009,4,0.8714085199142655,2,0.8776296476847079,4,0.016727191778626513,0.8757405307210129,4,0.014659705341513066,0.8929449718216518,4,0.01563701244687038,1
8,3,2,0.8526850503574204,3,0.8960784959363697,2,0.8101091727217685,2,0.8646041993880451,2,0.020848404503779727,0.8659425182917059,2,0.019884323805420684,0.8506486073786628,2,0.024604597014520453,2
8,3,4,0.8693390832048652,5,0.8709731618786656,4,0.8526850503574204,3,0.8688812856122583,4,0.01938778802801655,0.8558228225335344,4,0.01860040727784528,0.8542640269229852,4,0.019664480666432418,2
8,3,2,0.704055369163633,2,0.704055369163633,2,0.615741443759572,2,0.7621090279073609,2,0.020816692655708395,0.7617484260907232,2,0.020849588692940933,0.7088415499393039,2,0.02338802597738386,2
8,3,4,0.7523341288594602,5,0.7413793037366313,4,0.704055369163633,2,0.7666902760198315,4,0.018776069496623103,0.76321422882962,4,0.019433740053090433,0.7185924202614462,4,0.021769659593365548,2
8,3,2,0.8326497190986291,3,0.8261733606438506,2,0.8109284332378536,2,0.8328049832771938,2,0.014972564161171644,0.8334311650506562,2,0.0145121640338534,0.833561955694764,2,0.01448693783025547,2
8,3,4,0.8137339530489799,6,0.8290293028539554,4,0.8326497190986291,3,0.8126545838641603,4,0.014271864081244241,0.8134283721552643,4,0.013988497131065737,0.8154263908185052,4,0.013945604229998958,2
8,3,2,0.8205307098163852,3,0.7616289253687266,2,0.7398361628358969,1,0.8017050334606881,2,0.020321060050924905,0.798057353296403,2,0.020199018677306172,0.7783639939886531,2,0.026246461756416404,2
8,3,4,0.8414272452117025,5,0.8306528130065969,4,0.8205307098163852,3,0.8260047242309075,4,0.016931693536008995,0.8222465753158793,4,0.01699346867138663,0.8306274398559201,4,0.016600181073023496,2
8,3,2,0.7164152988933469,2,0.7164152988933469,2,0.6527616697354672,1,0.7127168443483888,2,0.0242542956823048,0.7164152988933469,2,0.02449418434373936,0.6027507345170854,2,0.03499575480437264,2
8,3,4,0.768796702017333,5,0.7910193077447306,4,0.7164152988933469,2,0.7543734640998722,4,0.018912315294283867,0.7546742589834262,4,0.018655847746142658,0.7806668951248373,4,0.017620300412619378,2
8,3,2,0.8465356403638232,3,0.8158133954946974,2,0.8316768798028177,1,0.8315736009735463,2,0.022889257411472904,0.8273289812538704,2,0.02211871475827938,0.8315736009735463,2,0.021638623995316197,2
8,3,4,0.9019767154782422,6,0.8715824666318123,4,0.8465356403638232,3,0.880907825518532,4,0.014131880099854189,0.8498880718653695,4,0.017809112639673504,0.856640545617246,4,0.017077887621741006,2
8,3,2,0.7747139964703798,2,0.7747139964703798,2,0.7589590345284513,2,0.7722371644430986,2,0.02274173103623631,0.7697363812117665,2,0.02213342992406887,0.7723039373238116,2,0.022453716828777566,2
8,3,4,0.811453471231761,4,0.811453471231761,4,0.7747139964703798,2,0.8204818949368706,4,0.016458461382042572,0.8199906434380686,4,0.016253518108455243,0.816936987590259,4,0.016560878255282407,2
8,3,2,0.8225038341589406,3,0.7996051981238634,2,0.8017281770424548,1,0.8091099650617092,2,0.023316348964770812,0.8054632634589456,2,0.021983639830226123,0.8006850267745009,2,0.02594947326915389,2
8,3,4,0.849625272372705,5,0.8444639042320459,4,0.8225038341589406,3,0.8448433914967257,4,0.01641160674903681,0.841196689893962,4,0.01564849100311843,0.8368076306818438,4,0.01582089869533481,2
8,3,2,0.6846827193779327,3,0.665225408719139,2,0.643869474705696,2,0.648250395742714,2,0.024638220809442876,0.6459612726810844,2,0.025796221167526567,0.648250395742714,2,0.02448390506143922,3
8,3,4,0.7430697644238408,6,0.73083356696894,4,0.6846827193779327,3,0.6997208833401615,4,0.020086267530651018,0.6920642243800144,4,0.020951075539550574,0.6997208833401615,4,0.019958299546229522,3
8,3,2,0.7240551365701541,4,0.6661276041181992,2,0.6457265910982796,2,0.6848726826794546,2,0.01958012099918047,0.6887753779502048,2,0.019701661176502308,0.6363757335115957,2,0.02205534100232935,3
8,3,4,0.7991788053847453,5,0.7614525410456733,4,0.7240551365701541,4,0.7486764088667888,4,0.015782394380532496,0.7418110227653435,4,0.016403060674094014,0.7486764088667888,4,0.015760104562707412,3
8,3,2,0.7762097036266646,3,0.792254763123581,2,0.7654893037317876,2,0.8632900782591435,2,0.0123681789550195,0.862259640212534,2,0.012304769776585886,0.8632900782591435,2,0.011800104556049256,3
8,3,4,0.8034902532670788,6,0.8346142516755662,4,0.7762097036266646,3,0.8498694295202802,4,0.011225807471376805,0.8597120823337348,4,0.011562702380284774,0.8469161045932027,4,0.010826366049606505,3
8,3,2,0.7986382879857594,3,0.7638442648304264,2,0.7475136455439383,2,0.7696350413342712,2,0.019138413016280564,0.7612651138102701,2,0.019370840042925944,0.7053043815010768,2,0.024514499098892622,3
8,3,4,0.8081670156733057,6,0.8148020433680198,4,0.7986382879857594,3,0.805506327534121,4,0.014393504063296043,0.8027406959806292,4,0.014700068804926908,0.7721414036890694,4,0.015558859837937488,3
