n_features,n_classes,standard_fidelity_train,standard_extreme_train,standard_moderate_train,standard_fidelity_test,standard_extreme_test,standard_moderate_test,kernel_fidelity_train,kernel_extreme_train,kernel_moderate_train,kernel_fidelity_test,kernel_extreme_test,kernel_moderate_test,logistic_fidelity_train,logistic_extreme_train,logistic_moderate_train,logistic_fidelity_test,logistic_extreme_test,logistic_moderate_test,combined_fidelity_train,combined_extreme_train,combined_moderate_train,combined_fidelity_test,combined_extreme_test,combined_moderate_test,standard_direction_variance,kernel_direction_variance,logistic_direction_variance,combined_direction_variance,seed
8,3,0.7671364805075663,0.9668992172042641,0.7287425854777583,0.7495863392754576,0.904669829738965,0.7204832663617773,0.7559845226459998,0.9286990559224917,0.7227892242114969,0.7515575790729246,0.895305637555552,0.7245817210063027,0.7602425566351811,0.950577083941309,0.723660739711863,0.7529784914051756,0.895305637555552,0.726269282709714,0.7566542777179703,0.9286990559224917,0.7235877045219886,0.7505954532706568,0.8834726453734109,0.7256596293555925,0.04891888408703927,0.04231960966716554,0.04107871527117125,0.042503507783879915,3
8,3,0.7767116416518376,1.0,0.735568955847142,0.7581487204676127,0.8950551305602983,0.7276813900592063,0.773332433297099,1.0,0.7315671010246876,0.7318347611745977,0.8849732042290136,0.6977551330577758,0.772469925470188,1.0,0.7305456691553891,0.7380948750721896,0.8849732042290136,0.7054083808369959,0.776364093539947,1.0,0.7351573691849423,0.7281870005652713,0.8849732042290136,0.6932955950622784,0.023465093959489466,0.018899733139574406,0.020536277316217648,0.01876905244981291,3
8,3,0.7874671228264766,0.9540804779093629,0.7458487933354582,0.7658511886006453,0.9352066362428706,0.7307765801726422,0.7889499426461849,0.9540804779093629,0.7477020065357076,0.7718089209255361,0.9352066362428706,0.7379681973906594,0.7830726139171655,0.9540804779093629,0.7403565805857323,0.7694985359017613,0.9352066362428706,0.7351793166872063,0.7953246365003388,0.9540804779093629,0.7556690343843039,0.7804202456849255,0.9352066362428706,0.7483629831971361,0.057122362786325244,0.051313875948380515,0.05044636593966302,0.051540039939659485,3
8,3,0.8241030381921006,0.9919458483506567,0.7675599104975208,0.8279782232933572,1.0,0.7667032184416526,0.8655794096689036,0.9903752739230498,0.8235379991276256,0.8496894493974652,1.0,0.7961480903104731,0.8576343838858963,0.9919458483506567,0.8123873442366984,0.8539121216662783,1.0,0.8018748992572832,0.8655794096689036,0.9903752739230498,0.8235379991276256,0.8621159785709949,1.0,0.8130010104327278,0.00529028048223245,0.0033855550677106177,0.0038653994218476413,0.0036634370439577995,3
8,3,0.7725901314139334,0.9005609866700008,0.756060755139627,0.7573768290778634,0.9211832993324224,0.7271429944840805,0.7763084785598895,0.9005609866700008,0.7602593831977564,0.7430632147903437,0.9211832993324224,0.7101875099081921,0.7730467059255258,0.9005609866700008,0.7565763031720594,0.7507109532997442,0.9211832993324224,0.7192467949868484,0.7702015976768054,0.9005609866700008,0.7533637060549547,0.7487936038119677,0.9211832993324224,0.7169755594335102,0.034255344907450955,0.03703804577379788,0.03413708690037724,0.03774477517704938,3
8,3,0.8726585392276163,0.9887588642279032,0.8393676229162383,0.8735056056611812,1.0,0.8238863245344609,0.8979904187013058,0.9887588642279032,0.8719632329571457,0.8699178282338061,1.0,0.818891188799079,0.8982639013783089,0.9887588642279032,0.872315134785109,0.8784271300965997,1.0,0.8307383891002106,0.900570784491577,0.9887588642279032,0.8752834997044249,0.8725204590176165,1.0,0.8225147396735061,0.0050756143934705695,0.005622547927999628,0.005201744146793228,0.006386640121341304,3
8,3,0.8565849345655131,1.0,0.8135720608410585,0.8563721768100259,1.0,0.8176395881209789,0.8600711286713585,1.0,0.8181038300850484,0.8723265254041417,1.0,0.8378963985095632,0.8501473334276484,1.0,0.8052037021220951,0.8700418028102164,1.0,0.8349955472399143,0.8746459286270866,1.0,0.8370498864925002,0.8616884436293155,1.0,0.8243895101436925,0.009018827033402333,0.0053251725184016345,0.00507628726070226,0.005082809250362249,3
8,3,0.6566751729365315,0.8970962574138414,0.6414719982262194,0.6183927035011167,0.644474839003843,0.6168825449928883,0.6751479133552603,0.8752824827532382,0.6624922811308839,0.6474019569104764,0.6240698135491555,0.6487528905718946,0.6983297971427801,0.8970962574138414,0.6857606781380097,0.6340207401653896,0.6656105693975038,0.6321916855857376,0.6833444319946202,0.8303846419836269,0.674046254146517,0.6526141060248529,0.6240698135491555,0.654266823692048,0.17877963277239975,0.15490529161587197,0.14464906231899383,0.15554029741667652,4
8,3,0.7710593428524014,0.9348368805842552,0.7122865444266512,0.8062929361616493,0.9329704121085767,0.7505942210757516,0.7890202073387842,0.9348368805842552,0.7366927999149351,0.8308222123083089,0.9529144202918273,0.7771395899174803,0.7890202073387842,0.9348368805842552,0.7366927999149351,0.8197640263049473,0.9529144202918273,0.7612192392162198,0.7942346753137977,0.9348368805842552,0.7437785188529148,0.8281206203817248,0.9440685062606761,0.7771395899174803,0.01471575599574298,0.015207252792960795,0.014297110834504054,0.01634195033378682,4
8,3,0.7603014293773548,0.9610074779952046,0.6941089275482774,0.7549230425563911,0.9328402879205324,0.7009220867258305,0.7657499320958396,0.9610074779952046,0.7013543368804027,0.7576182900668597,0.9504123406609822,0.6991019669908146,0.7620082071952488,0.9610074779952046,0.6963785976886039,0.7593461512234719,0.9504123406609822,0.7013542638411596,0.7592450305530988,0.9610074779952046,0.6927041302497934,0.7544449658273603,0.9504123406609822,0.6949654840550208,0.03240585251107784,0.02953129393849862,0.026507642486736288,0.0340004990824482,4
