n_features,n_classes,K,pair_lasso_recall,pair_lasso_spearman,fisher_select_recall,fisher_select_spearman,ridge_select_recall,ridge_select_spearman,joint_lasso_recall,joint_lasso_spearman,joint_refit_recall,joint_refit_spearman,seed
8,3,5,0.8,0.9027075674773933,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.7319250547113999,0.8,0.9271050693011065,3
8,3,2,1.0,0.7637626158259734,0.5,0.7637626158259734,0.5,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,4
8,3,5,0.8,0.9271050693011065,0.8,0.9271050693011065,1.0,0.9759000729485332,0.8,0.9027075674773933,0.8,0.9271050693011065,4
8,3,2,0.5,0.545544725589981,0.5,0.7637626158259734,0.5,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,4
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.8539125638299666,0.8,0.9271050693011065,4
8,3,2,0.0,0.5143707412705535,0.5,0.3273268353539886,1.0,0.7637626158259734,0.5,0.545544725589981,0.5,0.545544725589981,4
8,3,5,0.8,0.8539125638299666,0.8,0.9271050693011065,0.8,0.8539125638299666,0.6,0.46355253465055324,0.6,0.51234753829798,4
8,3,2,1.0,0.7637626158259734,0.5,0.7637626158259734,0.5,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,4
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,1.0,0.9759000729485332,0.8,0.9027075674773933,0.8,0.9271050693011065,4
8,3,2,0.0,0.5143707412705535,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.545544725589981,0.5,0.545544725589981,4
8,3,5,0.8,0.8539125638299666,1.0,0.9759000729485332,1.0,0.9759000729485332,0.6,0.31716752370827334,0.6,0.51234753829798,4
8,3,2,0.5,0.6546536707079772,0.5,0.3273268353539886,0.5,0.3273268353539886,0.5,0.545544725589981,0.5,0.545544725589981,4
8,3,5,0.8,0.80511756018254,0.6,0.7319250547113999,0.6,0.7319250547113999,0.6,0.36596252735569995,0.6,0.51234753829798,4
8,3,2,1.0,0.7637626158259734,0.5,0.7637626158259734,0.5,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,4
8,3,5,0.8,0.9271050693011065,0.8,0.9759000729485332,1.0,0.9759000729485332,0.8,0.9027075674773933,0.8,0.9271050693011065,4
8,3,2,0.5,0.6546536707079772,1.0,0.7637626158259734,1.0,0.7637626158259734,0.5,0.6546536707079772,0.5,0.6546536707079772,4
8,3,5,0.8,0.8539125638299666,0.8,0.9271050693011065,0.8,0.9271050693011065,0.6,0.3903600291794133,0.6,0.51234753829798,4
8,3,2,0.5,0.7637626158259734,0.5,0.7637626158259734,0.5,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,5
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,1.0,0.9759000729485332,1.0,0.95150257112482,1.0,0.9759000729485332,5
8,3,2,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,5
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,1.0,0.9759000729485332,1.0,0.95150257112482,1.0,0.9759000729485332,5
8,3,2,0.5,0.545544725589981,0.5,0.7637626158259734,0.5,0.7637626158259734,0.0,0.06234796863885497,0.0,0.18704390591656492,5
8,3,5,0.8,0.7807200583588266,1.0,0.9759000729485332,0.8,0.8783100656536799,0.8,0.6831300510639733,0.8,0.8783100656536799,5
8,3,2,0.5,0.545544725589981,0.5,0.7637626158259734,0.5,0.7637626158259734,0.0,0.06234796863885497,0.0,0.18704390591656492,5
8,3,5,0.8,0.7807200583588266,0.8,0.8539125638299666,0.8,0.8539125638299666,0.8,0.6831300510639733,0.8,0.8539125638299666,5
8,3,2,0.5,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,1.0,0.7637626158259734,5
8,3,5,1.0,0.95150257112482,1.0,0.9759000729485332,1.0,0.9759000729485332,1.0,0.95150257112482,1.0,0.9759000729485332,5
8,3,2,0.5,0.545544725589981,0.5,0.7637626158259734,0.5,0.7637626158259734,0.0,0.06234796863885497,0.0,0.18704390591656492,5
8,3,5,0.8,0.7807200583588266,1.0,0.9759000729485332,0.8,0.8539125638299666,0.8,0.6831300510639733,0.8,0.8539125638299666,5
8,3,2,0.5,0.545544725589981,0.5,0.7637626158259734,0.5,0.7637626158259734,0.0,0.06234796863885497,0.0,0.18704390591656492,5
8,3,5,0.8,0.7807200583588266,0.8,0.8783100656536799,0.8,0.8783100656536799,0.8,0.6831300510639733,0.8,0.8783100656536799,5
