n_features,n_classes,K,pair_lasso_fidelity,fisher_select_fidelity,ridge_select_fidelity,joint_lasso_fidelity,joint_refit_fidelity,pair_lasso_crosspair_overlap,pair_lasso_cycle_residual,fisher_select_crosspair_overlap,fisher_select_cycle_residual,ridge_select_crosspair_overlap,ridge_select_cycle_residual,joint_lasso_crosspair_overlap,joint_lasso_cycle_residual,joint_refit_crosspair_overlap,joint_refit_cycle_residual,pair_lasso_support_stability,pair_lasso_direction_variance,fisher_select_support_stability,fisher_select_direction_variance,ridge_select_support_stability,ridge_select_direction_variance,joint_lasso_support_stability,joint_lasso_direction_variance,joint_refit_support_stability,joint_refit_direction_variance,seed
8,3,5,0.6563883474786213,0.6579056749564633,0.6579056749564633,0.6215240685173821,0.6694509544121138,0.6190476190476191,0.29781039186711494,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6793650793650793,0.21371661886175125,0.7999999999999999,0.104297888727129,0.7999999999999999,0.104297888727129,0.8888888888888888,0.07055064291217196,0.8888888888888888,0.09865333626949804,2
8,3,2,0.6162615694234038,0.6583592309146684,0.6583592309146684,0.6069509589210041,0.6124814633103561,0.5555555555555555,0.05790129840827524,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7777777777777778,0.5990111647558752,0.7777777777777779,0.14960831239514455,0.7777777777777779,0.14960831239514455,0.7777777777777778,5.191011269291423e-07,0.7777777777777778,0.2566810589642043,2
8,3,5,0.6333228141220091,0.6406179959031953,0.6406179959031953,0.6128940226931843,0.6356452225276125,0.7777777777777777,0.6113696375278908,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.711111111111111,0.031687918274499904,0.8888888888888888,0.024082641751957214,0.8888888888888888,0.024082641751957214,0.8222222222222221,0.029090806694380925,0.8222222222222221,0.042977985136813224,2
8,3,2,0.613396223076225,0.7496076652232518,0.7496076652232518,0.5971921293390273,0.6931136912459895,0.2222222222222222,1.9956560022372263,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5111111111111111,5.8246060461191503e-08,0.6444444444444443,0.22090086471531584,0.6444444444444443,0.22090086471531584,0.7777777777777778,0.5649917907383177,0.7777777777777778,0.309031659278951,2
8,3,5,0.7195466898927653,0.7405351597328467,0.7405351597328467,0.6752039682554913,0.7115995411915694,0.38888888888888884,0.33123309057776745,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7238095238095237,0.11729965822395498,1.0,0.041104554783534364,1.0,0.041104554783534364,0.7555555555555554,0.06338362119553285,0.7555555555555554,0.05622747556253084,2
8,3,2,0.6350832818981906,0.6165067120862748,0.6165067120862748,0.6367951230736756,0.7161542845189808,0.5555555555555555,0.4785673458416199,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0354527790651625e-07,0.5999999999999999,0.2316966408916103,0.5999999999999999,0.2316966408916103,1.0,7.747860717891566e-08,1.0,0.006872973092489788,2
8,3,5,0.7266406390883783,0.7555954504236324,0.7555954504236324,0.725045648575529,0.746778217572586,0.6666666666666666,0.5707109206193924,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8222222222222221,0.019901117643999804,0.7555555555555553,0.0852438149242793,0.7555555555555553,0.0852438149242793,0.7333333333333332,0.021183061546070164,0.7333333333333332,0.05152801364107899,2
8,3,2,0.8757227863319684,0.5988770672015487,0.5988770672015487,0.8654404784575108,0.8457601575677947,0.5555555555555555,1.0531518992700677,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.3993041752516278e-08,0.7777777777777779,0.13659906921380421,0.7777777777777779,0.13659906921380421,1.0,2.17216097723284e-08,1.0,0.0022880330064464147,2
8,3,5,0.8817757732542236,0.8887120939578415,0.8887120939578415,0.8947927887828582,0.8887120939578415,0.5873015873015873,0.2466304487245214,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7111111111111109,0.011698929363422126,1.0,0.014361863752590501,1.0,0.014361863752590501,1.0,0.017735284336883574,1.0,0.014361863752590501,2
8,3,2,0.59769299969036,0.603444577467119,0.603444577467119,0.5770210602969876,0.6027143028887517,0.5555555555555555,0.03167878040698408,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.42222222222222217,4.1426482311880614e-07,0.6444444444444444,0.13203533413449486,0.6444444444444444,0.13203533413449486,0.5111111111111111,5.229649209209472e-08,0.5111111111111111,0.2318228636372637,2
8,3,5,0.5830426663223546,0.6214967293345087,0.6214967293345087,0.5875910318877656,0.642337386254099,0.7777777777777777,0.7701557847401047,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.5222222222222223,0.3042814385600571,0.6476190476190476,0.375940924465719,0.6793650793650794,0.38008530570666427,1.0,0.14242481613196784,1.0,0.16487933168840951,2
8,3,2,0.7256645564439769,0.724856818890622,0.724856818890622,0.7256645564439769,0.7599318453233738,1.0,0.0016201983702777882,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6,6.303049296612588e-07,0.511111111111111,0.2636358662480644,0.511111111111111,0.29916004578632893,0.7777777777777779,0.33247907366140245,0.7777777777777779,0.23257527862459104,2
8,3,5,0.7511198371548828,0.802086923639323,0.802086923639323,0.7609808559592363,0.802086923639323,0.7777777777777777,0.559936587203409,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7999999999999997,0.13305553516312674,0.8222222222222221,0.11482443832032166,0.8222222222222221,0.11482443832032166,0.6412698412698413,0.03506912347698752,0.6412698412698413,0.12054318215254896,2
8,3,2,0.5568662543619928,0.5594211319429252,0.5594211319429252,0.554408777741458,0.5658224949534896,0.5555555555555555,0.8988919184979365,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,8.865668952392339e-07,1.0,0.07706110910936848,1.0,0.07706110910936848,0.511111111111111,1.4012050024400682e-07,0.511111111111111,0.1983691814122075,2
8,3,5,0.6751561098345771,0.646156147665515,0.646156147665515,0.5860107236917845,0.6282328480065849,0.6190476190476191,0.41646480292354054,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6857142857142855,0.2266000088003031,0.7238095238095237,0.27326286667745714,0.7555555555555554,0.2520718964784149,1.0,0.08800244046094774,1.0,0.12632599406379483,2
8,3,2,0.9166218317220376,0.9166218317220376,0.9166218317220376,0.9166218317220376,0.9166218317220376,0.2222222222222222,0.13537184933242785,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.7777777777777778,0.33160335275023894,1.0,0.0008953951505906863,1.0,0.0008953951505906863,0.6444444444444444,3.172036948688193e-07,0.6444444444444444,0.49022637931069574,3
8,3,5,0.9166218317220376,0.9166218317220376,0.9166218317220376,0.9166218317220376,0.9166218317220376,0.5873015873015873,0.29363800086113045,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.6539682539682539,0.2910576445258317,0.6952380952380952,0.0924754595291714,0.6952380952380952,0.0924754595291714,0.7999999999999999,0.2387331780652076,0.7999999999999999,0.26102927466368614,3
8,3,2,0.9320641462917417,0.9320641462917417,0.9320641462917417,0.9320641462917417,0.9320641462917417,1.0,0.00028427942587314146,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.3111111111111111,0.8643580048208407,0.5111111111111111,0.18608659005413195,0.5111111111111111,0.18608659005413195,0.6,0.6666609591651713,0.6,0.5133864242007828,3
